country,metalbandcount,population
USA,1139,321418820
Sweden,476,9798871
Germany,397,81413145
United Kingdom,345,65138232
Finland,307,5482013
France,222,66808385
Norway,222,5195921
Italy,218,60802085
Canada,161,35851774
Australia,131,23781169
Poland,100,37999494
Greece,83,10823732
Spain,78,46418269
Denmark,68,5676002
Brazil,59,207847528
Belgium,58,11285721
Switzerland,53,8286976
Japan,52,126958472
Romania,49,19832389
Portugal,44,10348648
Austria,38,8611088
Czech Republic,34,10551219
Iceland,25,330823
Ukraine,25,45198200
Latvia,24,1978440
Hungary,22,9844686
Ireland,19,4640703
Argentina,18,43416755
Serbia,17,7098247
Israel,16,8380400
Mexico,15,127017224
Turkey,14,78665830
Chile,13,17948141
Estonia,13,1311998
Bulgaria,12,7177991
Slovak Republic,12,5424050
New Zealand,11,4595700
Croatia,10,4224404
Lithuania,9,2910199
Slovenia,9,2063768
India,8,1311050527
Cyprus,7,1165300
Belarus,6,9513000
Faroe Islands,5,48199
Indonesia,5,257563815
Jordan,5,7594547
Malta,5,431333
Singapore,5,5535002
South Africa,5,54956920
Bosnia and Herzegovina,4,3810416
Costa Rica,4,4807850
Lebanon,4,5850743
Peru,4,31376670
China,3,1371220000
Colombia,3,48228704
Luxembourg,3,569676
Moldova,2,3554150
Monaco,2,37731
Sri Lanka,2,20966000
Albania,1,2889167
Andorra,1,70473
Armenia,1,3017712
Azerbaijan,1,9651349
Bahrain,1,1377237
Bolivia,1,10724705
Ecuador,1,16144363
Georgia,1,3679000
Greenland,1,56114
Iraq,1,36423395
Liechtenstein,1,37531
Malaysia,1,30331007
Saudi Arabia,1,31540372
Swaziland,1,1286970
